"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","demo.note","plantid","trt","death_year","state","psurvival","life_st","pflower","proc.note","No.leavesT1","No.umbelsT1","pflowerT1","psurvivalT1","pflowerTminus1"
2018,3,3015,0,"F","3",24,18.5,1,"2.5","","3015_3","control",NA,"alive",1,"Flowering",1,NA,"1",0,0,1,1
2019,3,3015,0,"F","1",NA,11,0,NA,"one leaf partially eaten","3015_3","control",NA,"alive",1,"Vegetative",0,NA,"0",NA,NA,1,1
2020,3,3015,0,"F","0",NA,NA,NA,NA,"no plant","3015_3","control",NA,"dormant",1,"Dormant",NA,NA,"2",0,0,1,0
2021,3,3015,0,"F","2",NA,14,0,NA,"","3015_3","control",NA,"alive",1,"Vegetative",0,NA,"3",1,1,1,NA
2022,3,3015,0,"F","3",34,17,1,"5","","3015_3","control",NA,"alive",1,"Flowering",1,NA,"6",3,1,1,0
2023,3,3015,0,"F","6",45,20,3,"SOS","","3015_3","control",NA,"alive",1,"Flowering",1,NA,"4",2,1,1,1
2024,3,3015,0,"F","4",41.5,24,2,"8","","3015_3","control",NA,"alive",1,"Flowering",1,NA,"2",1,1,1,1
2025,3,3015,0,"F","2",26,22,1,"3.5","","3015_3","control",NA,"alive",1,"Flowering",1,NA,NA,NA,NA,NA,1
2016,15,3017,7,"G","3",NA,12,1,"2.8","","3017_15","drought",NA,"alive",1,"Flowering",1,NA,"8",4,1,1,NA
2017,15,3017,7,"G","8",NA,12,4,"3.5","","3017_15","drought",NA,"alive",1,"Flowering",1,NA,"4",2,1,1,1
2018,15,3017,7,"G","4",24,13,2,"2.4","","3017_15","drought",NA,"alive",1,"Flowering",1,NA,"2",1,1,1,1
2019,15,3017,7,"G","2",16.5,11,1,"2","","3017_15","drought",NA,"alive",1,"Flowering",1,NA,"1",0,0,1,1
2020,15,3017,7,"G","1",NA,15.2,0,NA,"","3017_15","drought",NA,"alive",1,"Vegetative",0,NA,"2",0,0,1,1
2021,15,3017,7,"G","2",NA,16,0,NA,"","3017_15","drought",NA,"alive",1,"Vegetative",0,NA,"6",2,1,1,0
2022,15,3017,7,"G","6",36,19,2,"SOS","","3017_15","drought",NA,"alive",1,"Flowering",1,NA,"4",3,1,1,0
2023,15,3017,7,"G","4",39,16,3,"SOS","1 umbel dead","3017_15","drought",NA,"alive",1,"Flowering",1,NA,"3",2,1,1,1
2024,15,3017,7,"G","3",32,16,2,"5","","3017_15","drought",NA,"alive",1,"Flowering",1,NA,"3",0,0,1,1
2025,15,3017,7,"G","3",NA,15,0,NA,"","3017_15","drought",NA,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,1
2017,13,3018,10,"G","2",NA,13,2,"4","","3018_13","control",NA,"alive",1,"Flowering",1,NA,"3",1,1,1,NA
2018,13,3018,10,"G","3",9.5,10.5,1,"2.4","","3018_13","control",NA,"alive",1,"Flowering",1,NA,"4",2,1,1,1
2019,13,3018,10,"G","4",21,15.5,2,"4.5","one leaf pulled off","3018_13","control",NA,"alive",1,"Flowering",1,NA,NA,NA,NA,NA,1
2020,13,3018,10,"G",NA,NA,NA,NA,NA,"","3018_13","control",NA,NA,NA,NA,NA,NA,"3",1,1,1,1
2021,13,3018,10,"G","3",20,15.5,1,"3.5","","3018_13","control",NA,"alive",1,"Flowering",1,NA,"4",3,1,1,NA
2022,13,3018,10,"G","4",36,13,3,"SOS","","3018_13","control",NA,"alive",1,"Flowering",1,NA,"6",5,1,1,1
2023,13,3018,10,"G","6",32,12,5,"SOS","","3018_13","control",NA,"alive",1,"Flowering",1,NA,"4",3,1,1,1
2024,13,3018,10,"G","4",31.5,9,3,"5","two basal leaves gone","3018_13","control",NA,"alive",1,"Flowering",1,NA,"3",4,1,1,1
2025,13,3018,10,"G","3",23.5,13,4,"10","","3018_13","control",NA,"alive",1,"Flowering",1,NA,NA,NA,NA,NA,1
2017,3,3019,2,"A","6",NA,18.5,1,"2.2","","3019_3","control",2021,"alive",1,"Flowering",1,NA,"2",1,1,1,NA
2018,3,3019,2,"A","2",15,19,1,"0.8","","3019_3","control",2021,"alive",1,"Flowering",1,NA,"2",1,1,1,1
2019,3,3019,2,"A","2",9,15,1,"2","","3019_3","control",2021,"alive",1,"Flowering",1,NA,"1",0,0,1,1
2020,3,3019,2,"A","1",NA,12,0,NA,"","3019_3","control",2021,"alive",1,"Vegetative",0,NA,NA,NA,NA,0,1
2021,3,3019,2,"A",NA,NA,NA,NA,NA,"NPNT","3019_3","control",2021,"dead",0,"Dead",NA,NA,NA,NA,NA,NA,0
2021,4,3020,0,"D","1",NA,9,0,NA,"","3020_4","irrigated",NA,"alive",1,"Vegetative",0,NA,"0",NA,NA,1,NA
2022,4,3020,0,"D","0",NA,NA,NA,NA,"NP","3020_4","irrigated",NA,"dormant",1,"Dormant",NA,NA,"1",0,0,1,0
2023,4,3020,0,"D","1",NA,20.5,0,NA,"next to hose","3020_4","irrigated",NA,"alive",1,"Vegetative",0,NA,"2",0,0,1,NA
2024,4,3020,0,"D","2",NA,14,0,NA,"","3020_4","irrigated",NA,"alive",1,"Vegetative",0,NA,"1",0,0,1,0
2025,4,3020,0,"D","1",NA,16.5,0,NA,"","3020_4","irrigated",NA,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0
2021,15,3021,9,"J","2",NA,16,0,NA,"","3021_15","drought",2023,"alive",1,"Vegetative",0,NA,"4",2,1,1,NA
2022,15,3021,9,"J","4",57,19,2,"SOS","","3021_15","drought",2023,"alive",1,"Flowering",1,NA,"0",NA,NA,0,0
2023,15,3021,9,"J","0",NA,NA,NA,NA,"NP","3021_15","drought",2023,"dead",0,"Dead",NA,NA,NA,NA,NA,NA,1
2016,5,3022,14,"J","6",NA,3.8,2,"2.2","","3022_5","drought",2018,"alive",1,"Flowering",1,NA,"3",1,1,1,NA
2017,5,3022,14,"J","3",NA,11,1,"3","","3022_5","drought",2018,"alive",1,"Flowering",1,NA,"0",NA,NA,0,1
2018,5,3022,14,"J","0",NA,NA,NA,NA,"no plant","3022_5","drought",2018,"dead",0,"Dead",NA,NA,NA,NA,NA,NA,1
2016,13,3023,16,"G","7",NA,5.7,2,"3.2","2 stalks","3023_13","control",NA,"alive",1,"Flowering",1,NA,"5",2,1,1,NA
2017,13,3023,16,"G","5",NA,14.5,2,"2","","3023_13","control",NA,"alive",1,"Flowering",1,NA,"2",1,1,1,1
2018,13,3023,16,"G","2",12,10.5,1,"1.7","","3023_13","control",NA,"alive",1,"Flowering",1,NA,"3",0,0,1,1
2019,13,3023,16,"G","3",NA,14,0,NA,"","3023_13","control",NA,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,1
2020,13,3023,16,"G",NA,NA,NA,NA,NA,"","3023_13","control",NA,NA,NA,NA,NA,NA,"3",1,1,1,0
2021,13,3023,16,"G","3",23,20,1,"2.5","","3023_13","control",NA,"alive",1,"Flowering",1,NA,"0",NA,NA,1,NA
2022,13,3023,16,"G","0",NA,NA,NA,NA,"NP","3023_13","control",NA,"dormant",1,"Dormant",NA,NA,"3",1,1,1,1
2023,13,3023,16,"G","3",32,17,1,"6","","3023_13","control",NA,"alive",1,"Flowering",1,NA,"1",1,1,1,NA
2024,13,3023,16,"G","1",21.5,14.5,1,"2.5","","3023_13","control",NA,"alive",1,"Flowering",1,NA,"3",1,1,1,1
2025,13,3023,16,"G","3",24,21,1,"3","","3023_13","control",NA,"alive",1,"Flowering",1,NA,NA,NA,NA,NA,1
2016,5,3024,0,"H","9",NA,6.7,2,"2.1","","3024_5","drought",NA,"alive",1,"Flowering",1,NA,"4",2,1,1,NA
2017,5,3024,0,"H","4",NA,15,2,"2","","3024_5","drought",NA,"alive",1,"Flowering",1,NA,"2",1,1,1,1
2018,5,3024,0,"H","2",10,11.5,1,"3.8","","3024_5","drought",NA,"alive",1,"Flowering",1,NA,"2",0,0,1,1
